Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
4860,chrome.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-03-08T13:50:27Z
1016,svchost.exe,IPv4,UDP,,0.0.0.0,5355,,0,2026-03-08T14:07:32Z
2356,svchost.exe,IPv4,UDP,,127.0.0.1,54846,,0,2026-03-08T13:23:00Z
4860,chrome.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-03-08T13:50:27Z
748,svchost.exe,IPv6,UDP,,fe80::98f0:d4d1:94cf:d467,546,,0,2026-03-08T14:12:24Z
2356,svchost.exe,IPv6,UDP,,::1,1900,,0,2026-03-08T13:23:00Z
2356,svchost.exe,IPv6,UDP,,fe80::98f0:d4d1:94cf:d467,1900,,0,2026-03-08T13:23:00Z
4860,chrome.exe,IPv6,UDP,,::,5353,,0,2026-03-08T13:50:27Z
1016,svchost.exe,IPv6,UDP,,::,5355,,0,2026-03-08T14:07:32Z
2356,svchost.exe,IPv6,UDP,,::1,54845,,0,2026-03-08T13:23:00Z
